Sample_ID,Sample,Taxon,Treatment,Algal_source,Light_regime,Parameter,Value,,Protocol,
S_1,1,Jania,A,light,chronic,ETRmax,30.4,,light,chronic
S_2,2,Halopteris,A,light,chronic,ETRmax,6.9,,dark,dynamic
S_3,3,Namaliun,A,light,chronic,ETRmax,3.9,,,
S_4,4,Sargassum,B,light,chronic,ETRmax,29.6,,,
S_5,5,Hypnea,B,light,chronic,ETRmax,23.5,,,
S_6,6,Cudiom,A,light,chronic,ETRmax,9.5,,,
S_7,7,Padina,B,light,chronic,ETRmax,42.4,,,
S_8,8,Cistosera,B,light,chronic,ETRmax,14.9,,,
S_9,9,Ulva,A,light,chronic,ETRmax,16.5,,,
S_10,10,Galaxaura,A,light,chronic,ETRmax,8.8,,,
S_11,11,Dictyota,B,light,chronic,ETRmax,28.7,,,
S_12,12,Colpomenia,B,light,chronic,ETRmax,16.8,,,
S_13,13,Ulva,A,light,chronic,ETRmax,17.3,,,
S_1,1,Colpomenia,A,dark,dynamic,Fv/Fm,0.704,,,
S_2,2,Dictyota,A,dark,dynamic,Fv/Fm,0.712,,,
S_3,3,Sargassum,A,dark,dynamic,Fv/Fm,0.694,,,
S_4,4,Padina,B,dark,dynamic,Fv/Fm,0.644,,,
S_5,5,Jania,B,dark,dynamic,Fv/Fm,0.345,,,
S_6,6,Red UNK,A,dark,dynamic,Fv/Fm,0.628,,,
S_7,7,Ulva,B,dark,dynamic,Fv/Fm,0.404,,,
S_8,8,Galxaura,B,dark,dynamic,Fv/Fm,0.579,,,
S_1,1,Colpomenia,A,dark,dynamic,NPQ_auc,244.28,,,
S_2,2,Dictyota,A,dark,dynamic,NPQ_auc,216.07,,,
S_3,3,Sargassum,A,dark,dynamic,NPQ_auc,181.35,,,
S_4,4,Padina,B,dark,dynamic,NPQ_auc,234.98,,,
S_5,5,Jania,B,dark,dynamic,NPQ_auc,199.95,,,
S_6,6,Red UNK,A,dark,dynamic,NPQ_auc,209.25,,,
S_7,7,Ulva,B,dark,dynamic,NPQ_auc,218.24,,,
S_8,8,Galxaura,B,dark,dynamic,NPQ_auc,141.67,,,
S_1,1,Colpomenia,A,dark,dynamic,NPQmax,0.703,,,
S_2,2,Dictyota,A,dark,dynamic,NPQmax,0.609,,,
S_3,3,Sargassum,A,dark,dynamic,NPQmax,0.519,,,
S_4,4,Padina,B,dark,dynamic,NPQmax,0.681,,,
S_5,5,Jania,B,dark,dynamic,NPQmax,0.5,,,
S_6,6,Red UNK,A,dark,dynamic,NPQmax,0.541,,,
S_7,7,Ulva,B,dark,dynamic,NPQmax,0.648,,,
S_8,8,Galxaura,B,dark,dynamic,NPQmax,0.404,,,
